,Año,Trimestre,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos
0,2013,1,7761349,57147608,64908957
1,2013,2,7769110,58004822,65773932
2,2013,3,8002183,59048909,67051092
3,2013,4,8674516,58894516,67569032
4,2014,1,8224482,54725089,62949571
5,2014,2,7953775,53009865,60963640
6,2014,3,8214424,53102043,61316467
7,2014,4,8027505,53093330,61120835
8,2015,1,7747230,52474633,60221863
9,2015,2,7633527,52241939,59875466
10,2015,3,7600799,53131712,60732511
11,2015,4,7594526,54247485,61842011
12,2016,1,7483126,54003635,61486761
13,2016,2,7565115,54557406,62122521
14,2016,3,7520789,56058550,63579339
15,2016,4,7637635,56082170,63719805
16,2017,1,7502772,55523350,63026122
17,2017,2,7415230,55483528,62898758
18,2017,3,7272585,54958224,62230809
19,2017,4,7108228,54789151,61897379
20,2018,1,7101698,53470098,60571796
21,2018,2,6637444,52828949,59466393
22,2018,3,6551391,52289745,58841136
23,2018,4,6488017,52110024,58598041
24,2019,1,6645995,51960447,58606442
25,2019,2,5924037,51672054,57596091
26,2019,3,5974898,50300828,56275726
27,2019,4,5797378,50133536,55930914
28,2020,1,5743132,49869048,55612810
29,2020,2,5659667,49391056,55050723
30,2020,3,5559724,49060162,54619886
31,2020,4,5556299,49207602,54763900
32,2021,1,6041047,50411986,56453033
33,2021,2,6046091,50829471,56875562
34,2021,3,6104479,51708030,57812509
35,2021,4,6186994,52878833,59065827
36,2022,1,6185039,53217542,59402581
37,2022,2,6215483,53286808,59502291
38,2022,3,6249094,53464409,59713503
