,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros_Internet,Total,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros_Velocidad,Accesos por cada 100 hogares
0,2022,3,Buenos Aires,339648,2748325,1436433,126846,70416,4721668,29985,27709,290315,297915,267044,124190,3618689,65821,78.11
1,2022,3,Capital Federal,140791,1240125,129218,5758,31787,1547679,517,5742,34371,67829,51946,28692,1253105,105477,122.28
2,2022,3,Catamarca,10010,10495,46224,1329,2235,70293,71,384,3107,5389,5099,3737,50298,2208,65.33
3,2022,3,Chaco,27164,61800,44645,8178,2359,144146,461,987,16782,18938,8049,15828,79390,3711,43.86
4,2022,3,Chubut,45377,72212,9574,29784,8831,165778,109,1444,45707,30940,34682,15309,17563,20024,84.38
5,2022,3,Córdoba,163770,465461,338570,61070,9797,1038668,99,11312,153324,111615,70989,27112,650344,13873,88.31
6,2022,3,Corrientes,36508,77140,18619,7256,5323,144846,67,3865,23427,23948,7776,21706,56950,7107,48.21
7,2022,3,Entre Ríos,60345,132952,36971,26098,12593,268959,107,5549,47210,46855,18263,32021,102195,16759,63.67
8,2022,3,Formosa,14470,25880,11041,16935,212,68538,97,307,23538,19545,6194,564,17704,589,43.76
9,2022,3,Jujuy,19257,52978,40172,4033,2383,118823,58,1879,19135,15254,36083,519,45895,0,58.91
10,2022,3,La Pampa,7796,60078,23551,20216,4451,116092,68,1887,61540,9653,11592,5609,22731,3012,96.59
11,2022,3,La Rioja,6842,53899,19697,6395,31,86864,18,689,2842,3375,24219,5331,50390,0,80.66
12,2022,3,Mendoza,37659,78858,142615,27625,2766,289523,103,2953,44232,21977,48201,17243,150043,4771,51.03
13,2022,3,Misiones,35513,88902,39046,11074,7622,182157,51,3749,36628,20758,12676,19615,80330,8350,51.82
14,2022,3,Neuquén,29352,75815,29396,27482,1116,163161,134,991,38485,14080,9200,6700,78713,14858,80.37
15,2022,3,Río Negro,35552,48260,41017,16760,18969,160558,111,1221,32936,17860,27934,13629,42596,24271,67.98
16,2022,3,Salta,40006,96984,50254,10082,7215,204541,114,1490,32923,71199,5662,1001,85661,6491,57.76
17,2022,3,San Juan,38570,22723,12328,21860,7918,103399,24,2027,30324,11247,22157,6780,19221,11619,50.8
18,2022,3,San Luis,6860,29363,248,70614,14985,122070,60,307,6563,20813,12061,67438,13,14815,81.74
19,2022,3,Santa Cruz,10170,24047,10815,3896,582,49510,52,6841,12342,11313,11378,2333,4604,647,43.19
20,2022,3,Santa Fe,183740,426255,215189,43079,19547,887810,468,11132,132709,198588,70897,57455,396352,20209,78.55
21,2022,3,Santiago Del Estero,15385,80937,13170,6618,2922,119032,178,1384,28357,58982,16087,910,12342,792,47.98
22,2022,3,Tierra Del Fuego,12754,39963,403,125,651,53896,22,831,12002,14815,20102,1752,1021,3351,99.51
23,2022,3,Tucumán,77738,18518,162345,3997,519,263117,39,2047,32571,39018,25214,4348,159600,280,61.14
